Ad_ID,Campaign_Name,Clicks,Impressions,Cost,Leads,Conversions,Conversion Rate,Sale_Amount,Ad_Date,Location,Device,Keyword,CTR,CPC,CPA,ROI
A1020,Data Analytcis Course,184.0,4143.0,223.3,10.0,10.0,0.044,1735.0,2024/11/21,Hyderbad,TABLET,learn data analytics,0.044412261646150135,1.2135869565217392,22.330000000000002,7.769816390506045
A1021,Data Analytics Corse,171.0,4154.0,184.23,30.0,7.0,0.041,1803.0,2024/11/08,hyderabad,tablet,data analitics online,0.041165142031776604,1.0773684210526315,26.318571428571428,9.786679693860934
A1022,Data Analytcis Course,122.0,5187.0,211.24,27.0,6.0,0.049,1322.0,2024-11-20,HYDERABAD,Desktop,online data analytic,0.023520339309812992,1.7314754098360656,35.20666666666667,6.258284415830335
A1023,Data Anlytics Corse,188.0,5798.0,230.17,28.0,5.0,0.047,1452.0,30-11-2024,HYDERABAD,TABLET,data analytics course,0.032424974129010006,1.2243085106382978,46.034,6.308380762045445
A1025,DataAnalyticsCourse,88.0,3349.0,181.92,22.0,8.0,0.091,1456.0,2024-11-20,HYDERABAD,Tablet,learn data analytics,0.026276500447894893,2.067272727272727,22.74,8.003518029903255
A1026,Data Anlytics Corse,119.0,5323.0,205.92,17.0,10.0,0.06,1656.0,2024-11-02,Hyderbad,desktop,online data analytic,0.022355814390381364,1.7304201680672269,20.592,8.041958041958042
A1028,Data Anlytics Corse,128.0,5469.0,188.49,16.0,3.0,,1783.0,2024-11-23,Hyderbad,MOBILE,learn data analytics,0.02340464435911501,1.472578125,62.830000000000005,9.459387765929227
A1029,Data Analytcis Course,86.0,3351.0,237.75,21.0,9.0,0.105,1975.0,2024/11/13,HYDERABAD,Mobile,analytics for data,0.025663980901223515,2.76453488372093,26.416666666666668,8.307045215562566
A1030,Data Analytics Corse,188.0,4834.0,213.58,15.0,4.0,0.021,1590.0,2024-11-08,Hyderbad,TABLET,online data analytic,0.03889118742242449,1.136063829787234,53.395,7.444517276898585
A1031,DataAnalyticsCourse,113.0,5065.0,212.37,11.0,5.0,,1111.0,22-11-2024,HYDERABAD,Desktop,online data analytic,0.022309970384995065,1.8793805309734513,42.474000000000004,5.231435701841126
A1033,Data Analytics Corse,176.0,5509.0,234.59,19.0,7.0,0.054,1710.0,2024/11/03,Hyderbad,Tablet,data analytics course,0.03194772190960247,1.3328977272727274,33.51285714285714,7.289313269960356
A1035,DataAnalyticsCourse,104.0,5275.0,236.48,16.0,9.0,0.031,1824.0,01-11-2024,HYDERABAD,DESKTOP,data anaytics training,0.019715639810426542,2.273846153846154,26.275555555555556,7.713125845737483
A1036,Data Anlytics Corse,146.0,5939.0,242.9,11.0,8.0,0.035,1833.0,2024-11-07,HYDERABAD,Desktop,data anaytics training,0.02458326317561879,1.6636986301369863,30.3625,7.5463153561136265
A1038,Data Analytcis Course,90.0,5786.0,197.55,11.0,6.0,0.043,1704.0,16-11-2024,hyderabad,MOBILE,online data analytic,0.015554787417905289,2.1950000000000003,32.925000000000004,8.625664388762338
A1039,Data Analytcis Course,171.0,4304.0,192.61,17.0,10.0,0.058,1427.0,2024-11-26,hydrebad,Mobile,learn data analytics,0.03973048327137547,1.126374269005848,19.261000000000003,7.408753439592959
A1040,Data Analytics Corse,94.0,5549.0,231.23,25.0,9.0,0.096,1849.0,2024/11/12,Hyderbad,mobile,data anaytics training,0.016939989187240944,2.4598936170212764,25.69222222222222,7.996367253384077
A1041,Data Analytics Corse,112.0,4271.0,196.07,27.0,6.0,,1209.0,2024-11-14,hyderabad,desktop,data analitics online,0.026223366892999297,1.7506249999999999,32.678333333333335,6.16616514510124
A1042,Data Analytcis Course,113.0,4418.0,191.55,27.0,10.0,,1634.0,2024/11/09,Hyderbad,MOBILE,data analytics course,0.02557718424626528,1.695132743362832,19.155,8.530409814669799
A1043,Data Anlytics Corse,145.0,3721.0,180.95,21.0,7.0,0.048,1960.0,29-11-2024,hydrebad,desktop,data analitics online,0.038968019349637194,1.2479310344827585,25.849999999999998,10.831721470019342
A1044,DataAnalyticsCourse,197.0,5783.0,204.46,23.0,6.0,,1729.0,01-11-2024,hydrebad,TABLET,data anaytics training,0.03406536399792495,1.0378680203045685,34.07666666666667,8.456421793993934
A1045,DataAnalyticsCourse,109.0,4866.0,236.78,27.0,5.0,,1585.0,15-11-2024,hyderabad,Mobile,online data analytic,0.02240032881216605,2.1722935779816512,47.356,6.693977531886139
A1046,Data Anlytics Corse,188.0,5857.0,222.98,20.0,4.0,0.048,1303.0,11-11-2024,HYDERABAD,desktop,data anaytics training,0.032098343862045416,1.186063829787234,55.745,5.843573414656023
A1047,Data Analytics Corse,142.0,5103.0,234.1,24.0,3.0,0.021,1835.0,2024-11-08,Hyderbad,mobile,analytics for data,0.02782676856750931,1.6485915492957746,78.03333333333333,7.838530542503204
A1048,Data Analytcis Course,168.0,4653.0,240.84,27.0,9.0,0.054,1367.0,2024-11-24,hydrebad,Mobile,online data analytic,0.036105738233397806,1.4335714285714285,26.76,5.675967447267896
A1049,Data Analytcis Course,110.0,3524.0,248.86,19.0,10.0,0.091,1524.0,21-11-2024,Hyderbad,MOBILE,learn data analytics,0.031214528944381384,2.2623636363636366,24.886000000000003,6.123925098448927
A1050,Data Analytcis Course,192.0,5938.0,182.84,26.0,5.0,0.039,1080.0,2024/11/12,hydrebad,MOBILE,analytics for data,0.03233411923206467,0.9522916666666666,36.568,5.906803762852768
A1051,Data Analytics Corse,101.0,3942.0,206.62,16.0,5.0,0.05,1746.0,2024-11-24,HYDERABAD,Tablet,analytics for data,0.025621511922881784,2.045742574257426,41.324,8.4502952279547
A1052,Data Analytics Corse,157.0,3315.0,189.56,15.0,10.0,0.064,1026.0,2024-11-25,HYDERABAD,MOBILE,online data analytic,0.0473604826546003,1.2073885350318472,18.956,5.412534289934586
A1053,Data Anlytics Corse,113.0,4945.0,187.66,15.0,10.0,,1564.0,2024/11/26,HYDERABAD,TABLET,learn data analytics,0.022851365015166835,1.66070796460177,18.766,8.33422146435042
A1054,Data Analytcis Course,96.0,3166.0,196.15,29.0,7.0,0.073,1902.0,26-11-2024,hyderabad,Desktop,learn data analytics,0.030322173089071383,2.043229166666667,28.021428571428572,9.696660718837624
A1055,Data Analytcis Course,125.0,4223.0,183.68,15.0,6.0,,1267.0,2024-11-05,HYDERABAD,DESKTOP,data analitics online,0.029599810561212407,1.46944,30.613333333333333,6.897865853658536
A1056,Data Analytcis Course,104.0,4798.0,210.1,18.0,3.0,,1340.0,21-11-2024,hyderabad,desktop,analytics for data,0.021675698207586493,2.020192307692308,70.03333333333333,6.377915278438839
A1057,Data Anlytics Corse,194.0,5655.0,208.58,13.0,6.0,0.031,1692.0,2024-11-16,hydrebad,mobile,data anaytics training,0.03430592396109638,1.0751546391752578,34.763333333333335,8.11199539744942
A1058,DataAnalyticsCourse,144.0,5140.0,219.48,19.0,8.0,0.047,1054.0,18-11-2024,Hyderbad,desktop,data analitics online,0.02801556420233463,1.5241666666666667,27.435,4.80225988700565
A1060,Data Analytics Corse,166.0,5223.0,189.76,18.0,7.0,0.042,1219.0,16-11-2024,Hyderbad,Tablet,data analytics course,0.031782500478652116,1.1431325301204818,27.108571428571427,6.423903878583475
A1062,Data Anlytics Corse,118.0,5016.0,204.31,19.0,9.0,0.045,1833.0,2024/11/08,hyderabad,Desktop,analytics for data,0.023524720893141945,1.7314406779661018,22.70111111111111,8.971660711663649
A1063,DataAnalyticsCourse,185.0,3617.0,222.32,24.0,7.0,0.038,1963.0,23-11-2024,hyderabad,Mobile,data analytics course,0.05114735969035112,1.2017297297297298,31.759999999999998,8.82961496941346
A1064,Data Analytcis Course,116.0,3764.0,232.03,28.0,10.0,0.086,1348.0,2024/11/20,hyderabad,Tablet,data analytics course,0.030818278427205102,2.0002586206896553,23.203,5.809593587036159
A1065,Data Analytics Corse,99.0,4489.0,183.73,15.0,6.0,0.061,1264.0,2024-11-05,HYDERABAD,desktop,online data analytic,0.022053909556694142,1.8558585858585857,30.621666666666666,6.879660371196866
A1066,DataAnalyticsCourse,172.0,4441.0,221.18,14.0,8.0,0.047,1771.0,27-11-2024,hyderabad,mobile,analytics for data,0.038730015762215714,1.2859302325581397,27.6475,8.00705307894023
A1067,Data Analytcis Course,138.0,5751.0,199.11,26.0,9.0,0.052,1337.0,2024-11-10,Hyderbad,desktop,data analitics online,0.023995826812728223,1.442826086956522,22.123333333333335,6.714881221435387
A1068,Data Analytcis Course,84.0,4036.0,234.22,23.0,10.0,0.119,1287.0,04-11-2024,Hyderbad,Desktop,learn data analytics,0.02081268582755203,2.788333333333333,23.422,5.494833916830331
A1069,DataAnalyticsCourse,124.0,4942.0,240.59,18.0,3.0,0.024,1922.0,2024-11-16,hydrebad,DESKTOP,learn data analytics,0.02509105625252934,1.940241935483871,80.19666666666667,7.988694459453843
A1070,Data Analytcis Course,122.0,4989.0,215.48,12.0,5.0,0.041,1975.0,2024/11/06,hyderabad,MOBILE,data analitics online,0.024453798356384046,1.7662295081967212,43.096,9.165583812882867
A1071,Data Analytics Corse,180.0,3006.0,228.14,22.0,7.0,0.039,1556.0,2024-11-04,HYDERABAD,TABLET,learn data analytics,0.059880239520958084,1.2674444444444444,32.59142857142857,6.820373454896117
A1073,DataAnalyticsCourse,164.0,3734.0,225.39,27.0,8.0,0.04,1728.0,12-11-2024,HYDERABAD,tablet,learn data analytics,0.04392072844134976,1.3743292682926829,28.17375,7.666711034207374
A1074,Data Analytics Corse,150.0,4621.0,246.3,15.0,6.0,0.049,1554.0,2024-11-09,hyderabad,Desktop,data analitics online,0.032460506383899586,1.6420000000000001,41.050000000000004,6.309378806333739
A1075,Data Analytcis Course,97.0,3212.0,212.55,27.0,10.0,0.103,1994.0,23-11-2024,HYDERABAD,DESKTOP,analytics for data,0.030199252801992527,2.191237113402062,21.255000000000003,9.381322041872501
A1076,Data Anlytics Corse,128.0,4225.0,228.24,30.0,4.0,0.031,1618.0,2024/11/08,Hyderbad,mobile,learn data analytics,0.03029585798816568,1.783125,57.06,7.089029092183666
A1077,Data Analytics Corse,99.0,4779.0,233.78,26.0,10.0,0.101,1086.0,2024-11-05,hyderabad,DESKTOP,online data analytic,0.02071563088512241,2.3614141414141416,23.378,4.645393104628283
A1078,Data Anlytics Corse,86.0,5352.0,234.05,11.0,5.0,0.058,1364.0,2024-11-09,hydrebad,TABLET,online data analytic,0.016068759342301942,2.721511627906977,46.81,5.827814569536423
A1079,Data Analytcis Course,118.0,5405.0,187.28,25.0,7.0,0.058,1836.0,2024-11-05,hydrebad,TABLET,analytics for data,0.02183163737280296,1.5871186440677967,26.754285714285714,9.8035027765912
A1080,Data Analytcis Course,127.0,5430.0,199.13,14.0,6.0,0.047,1932.0,2024/11/25,hydrebad,Mobile,analytics for data,0.023388581952117862,1.5679527559055118,33.18833333333333,9.702204589966353
A1081,Data Analytics Corse,83.0,4808.0,241.35,20.0,7.0,0.084,1038.0,30-11-2024,Hyderbad,mobile,learn data analytics,0.017262895174708817,2.907831325301205,34.47857142857143,4.30080795525171
A1083,DataAnalyticsCourse,168.0,4683.0,215.28,30.0,8.0,0.048,1327.0,2024/11/28,HYDERABAD,Mobile,data analitics online,0.03587443946188341,1.2814285714285714,26.91,6.1640654031958375
A1084,DataAnalyticsCourse,112.0,5814.0,227.38,11.0,8.0,0.071,1467.0,2024-11-03,Hyderbad,Tablet,analytics for data,0.019263845889232887,2.0301785714285714,28.4225,6.451754771747735
A1085,DataAnalyticsCourse,123.0,3292.0,233.2,28.0,6.0,0.049,1174.0,2024-11-19,HYDERABAD,Desktop,data anaytics training,0.037363304981773995,1.8959349593495933,38.86666666666667,5.034305317324185
A1086,Data Anlytics Corse,174.0,4305.0,206.02,20.0,3.0,0.034,1057.0,2024/11/23,HYDERABAD,desktop,learn data analytics,0.04041811846689895,1.1840229885057472,68.67333333333333,5.130569847587613
A1088,Data Analytcis Course,195.0,5935.0,209.68,23.0,9.0,0.046,1966.0,2024-11-07,hydrebad,tablet,online data analytic,0.03285593934288121,1.0752820512820513,23.297777777777778,9.376192293017931
A1089,DataAnalyticsCourse,176.0,5847.0,241.04,13.0,6.0,0.034,1194.0,2024-11-02,hyderabad,DESKTOP,online data analytic,0.030100906447750982,1.3695454545454544,40.17333333333333,4.95353468304016
A1090,Data Anlytics Corse,141.0,4851.0,227.39,28.0,5.0,,1821.0,2024/11/15,HYDERABAD,desktop,analytics for data,0.02906617192331478,1.6126950354609928,45.477999999999994,8.008267733849335
A1091,Data Analytics Corse,108.0,4710.0,204.16,19.0,10.0,0.093,1731.0,2024/11/20,Hyderbad,tablet,data analitics online,0.022929936305732482,1.8903703703703703,20.416,8.47864420062696
A1094,Data Analytcis Course,145.0,5004.0,216.45,22.0,5.0,0.034,1496.0,2024-11-01,hydrebad,tablet,data analitics online,0.02897681854516387,1.492758620689655,43.29,6.911526911526912
A1095,Data Anlytics Corse,183.0,3947.0,197.3,15.0,8.0,0.044,1645.0,2024-11-14,Hyderbad,Desktop,data anaytics training,0.04636432733721814,1.0781420765027323,24.6625,8.337557019766852
A1096,DataAnalyticsCourse,113.0,3690.0,229.42,20.0,5.0,0.044,1915.0,2024-11-28,HYDERABAD,tablet,learn data analytics,0.03062330623306233,2.0302654867256638,45.884,8.347136256647198
A1097,Data Analytcis Course,101.0,5943.0,187.32,27.0,6.0,0.059,1614.0,2024-11-15,hydrebad,TABLET,data analitics online,0.016994783779236074,1.8546534653465345,31.22,8.616271620755926
A1098,DataAnalyticsCourse,189.0,5357.0,222.5,24.0,3.0,0.05,1839.0,2024-11-25,hydrebad,tablet,data analytics course,0.03528094082508867,1.1772486772486772,74.16666666666667,8.265168539325842
A1099,Data Anlytics Corse,154.0,3596.0,236.14,30.0,9.0,0.058,1036.0,2024/11/06,HYDERABAD,tablet,online data analytic,0.04282536151279199,1.5333766233766233,26.237777777777776,4.387227915643263
A1100,Data Anlytics Corse,179.0,5162.0,246.76,16.0,5.0,0.05,1052.0,2024-11-29,Hyderbad,DESKTOP,online data analytic,0.03467648198372724,1.3785474860335194,49.352,4.263251742583887
A1101,Data Analytics Corse,148.0,3747.0,244.41,18.0,8.0,0.054,1092.0,2024/11/17,HYDERABAD,Tablet,learn data analytics,0.03949826527888978,1.6514189189189188,30.55125,4.467902295323432
A1102,Data Anlytics Corse,177.0,4822.0,197.03,26.0,9.0,0.051,1909.0,2024-11-04,Hyderbad,Mobile,online data analytic,0.03670676068021568,1.1131638418079095,21.892222222222223,9.688879866010252
A1105,Data Analytcis Course,146.0,4765.0,230.22,23.0,5.0,0.034,1944.0,2024/11/28,hyderabad,Tablet,analytics for data,0.030640083945435468,1.5768493150684932,46.044,8.444096950742768
A1107,Data Anlytics Corse,159.0,5127.0,197.16,21.0,4.0,0.025,1867.0,2024-11-03,hyderabad,tablet,learn data analytics,0.0310122878876536,1.24,49.29,9.469466423209576
A1108,Data Anlytics Corse,144.0,5674.0,235.36,12.0,3.0,0.021,1505.0,2024-11-22,hyderabad,desktop,analytics for data,0.02537892139584068,1.6344444444444446,78.45333333333333,6.394459551325628
A1109,Data Anlytics Corse,122.0,3793.0,237.22,19.0,8.0,0.066,1842.0,2024-11-20,hyderabad,tablet,online data analytic,0.03216451357764303,1.9444262295081967,29.6525,7.76494393390102
A1110,Data Analytics Corse,112.0,4315.0,235.33,28.0,9.0,0.08,1116.0,2024/11/08,HYDERABAD,MOBILE,data analytics course,0.025955967555040555,2.1011607142857143,26.14777777777778,4.742276802787575
A1111,DataAnalyticsCourse,174.0,4704.0,192.32,21.0,10.0,0.049,1501.0,2024/11/24,HYDERABAD,MOBILE,learn data analytics,0.036989795918367346,1.105287356321839,19.232,7.804700499168053
A1112,Data Analytics Corse,168.0,3349.0,235.6,23.0,9.0,0.054,1894.0,2024-11-09,hyderabad,Mobile,online data analytic,0.050164228127799346,1.4023809523809523,26.177777777777777,8.03904923599321
A1113,DataAnalyticsCourse,173.0,3501.0,223.9,28.0,10.0,0.044,1179.0,2024/11/25,Hyderbad,Mobile,data analytics course,0.04941445301342474,1.2942196531791907,22.39,5.265743635551585
A1115,Data Analytcis Course,140.0,5405.0,195.69,21.0,8.0,,1094.0,21-11-2024,hyderabad,Desktop,data anaytics training,0.025901942645698426,1.3977857142857142,24.46125,5.590474730441004
A1116,DataAnalyticsCourse,93.0,3425.0,229.76,26.0,4.0,0.043,1344.0,24-11-2024,Hyderbad,Mobile,online data analytic,0.027153284671532846,2.470537634408602,57.44,5.84958217270195
A1117,Data Analytcis Course,114.0,5263.0,189.13,23.0,5.0,0.044,1434.0,05-11-2024,HYDERABAD,Mobile,data analytics course,0.021660649819494584,1.6590350877192983,37.826,7.58208639560091
A1119,Data Analytcis Course,188.0,3327.0,193.76,24.0,6.0,0.047,1220.0,03-11-2024,hydrebad,Tablet,online data analytic,0.05650736399158401,1.0306382978723403,32.29333333333333,6.29644921552436
A1121,DataAnalyticsCourse,113.0,5471.0,215.57,27.0,9.0,0.038,1123.0,2024-11-23,hyderabad,Mobile,analytics for data,0.02065435934929629,1.9076991150442477,23.952222222222222,5.209444727930602
A1122,Data Analytics Corse,109.0,3550.0,240.33,14.0,8.0,0.073,1982.0,2024-11-24,hyderabad,Tablet,learn data analytics,0.030704225352112677,2.204862385321101,30.04125,8.246993716972495
A1123,Data Anlytics Corse,174.0,3178.0,225.67,18.0,10.0,0.057,1140.0,20-11-2024,HYDERABAD,Desktop,data analitics online,0.05475141598489616,1.2969540229885057,22.567,5.0516240528204905
A1124,DataAnalyticsCourse,96.0,4673.0,192.88,24.0,5.0,0.052,1962.0,2024-11-10,HYDERABAD,MOBILE,learn data analytics,0.020543548041943076,2.0091666666666668,38.576,10.172127747822481
A1125,Data Analytcis Course,110.0,4254.0,187.87,11.0,4.0,,1172.0,2024-11-04,hyderabad,MOBILE,data anaytics training,0.025858015984955338,1.707909090909091,46.9675,6.23835631021451
A1126,Data Anlytics Corse,163.0,3658.0,237.63,23.0,7.0,0.043,1699.0,2024-11-23,Hyderbad,TABLET,online data analytic,0.04455986878075451,1.4578527607361962,33.94714285714286,7.149770651853722
A1127,DataAnalyticsCourse,161.0,5319.0,235.98,13.0,4.0,0.025,1423.0,2024-11-18,Hyderbad,Mobile,learn data analytics,0.030268847527730777,1.4657142857142857,58.995,6.0301720484786845
A1128,DataAnalyticsCourse,195.0,5278.0,193.49,30.0,7.0,0.047,1456.0,2024/11/04,hyderabad,Mobile,data analytics course,0.03694581280788178,0.9922564102564103,27.641428571428573,7.524936689234585
A1129,Data Anlytics Corse,84.0,3755.0,218.88,14.0,9.0,0.047,1299.0,2024/11/05,Hyderbad,TABLET,analytics for data,0.02237017310252996,2.605714285714286,24.32,5.9347587719298245
A1130,Data Anlytics Corse,113.0,4580.0,194.82,11.0,6.0,0.059,1248.0,2024/11/28,Hyderbad,tablet,data analytics course,0.024672489082969432,1.724070796460177,32.47,6.405913150600554
A1131,Data Analytics Corse,117.0,3809.0,225.14,12.0,5.0,0.032,1495.0,2024-11-09,hydrebad,DESKTOP,data anaytics training,0.030716723549488054,1.9242735042735042,45.028,6.640312694323533
A1132,DataAnalyticsCourse,135.0,5118.0,219.99,27.0,6.0,0.044,1089.0,2024-11-20,hyderabad,MOBILE,online data analytic,0.02637749120750293,1.6295555555555556,36.665,4.950225010227737
A1133,Data Anlytics Corse,92.0,5766.0,186.14,28.0,7.0,0.076,1013.0,27-11-2024,HYDERABAD,TABLET,data anaytics training,0.015955601803676726,2.0232608695652172,26.59142857142857,5.442140324486946
A1135,Data Analytcis Course,101.0,4724.0,228.38,13.0,7.0,0.034,1243.0,2024-11-20,hyderabad,Desktop,learn data analytics,0.021380186282811176,2.261188118811881,32.62571428571429,5.442683247219547
A1136,Data Anlytics Corse,111.0,5895.0,205.25,29.0,4.0,0.036,1693.0,2024-11-04,HYDERABAD,Mobile,data analytics course,0.018829516539440202,1.8490990990990992,51.3125,8.248477466504264
A1138,Data Analytcis Course,99.0,3169.0,237.68,21.0,6.0,,1509.0,2024-11-22,hydrebad,Mobile,online data analytic,0.031240138845061535,2.4008080808080807,39.61333333333334,6.348872433524066
A1139,DataAnalyticsCourse,154.0,4535.0,229.29,11.0,3.0,0.019,1434.0,2024/11/01,HYDERABAD,TABLET,data anaytics training,0.033958103638368244,1.488896103896104,76.42999999999999,6.254088708622269
A1140,Data Anlytics Corse,129.0,3849.0,249.29,22.0,10.0,0.078,1767.0,2024/11/11,HYDERABAD,desktop,analytics for data,0.03351519875292284,1.9324806201550386,24.929,7.088130290023668
A1144,Data Anlytics Corse,134.0,3724.0,188.02,26.0,9.0,0.047,1891.0,2024/11/07,hydrebad,DESKTOP,online data analytic,0.0359828141783029,1.403134328358209,20.891111111111112,10.057440697798105
A1145,Data Anlytics Corse,174.0,4838.0,242.35,21.0,3.0,0.017,1599.0,2024-11-22,HYDERABAD,desktop,data analitics online,0.03596527490698636,1.392816091954023,80.78333333333333,6.597895605529193
A1146,Data Analytics Corse,196.0,4524.0,192.01,15.0,8.0,0.041,1048.0,2024-11-13,hyderabad,desktop,data analytics course,0.04332449160035367,0.9796428571428571,24.00125,5.458049059944795
A1147,Data Analytics Corse,194.0,4694.0,228.15,17.0,7.0,0.036,1874.0,2024-11-14,hyderabad,Tablet,learn data analytics,0.04132935662547933,1.1760309278350516,32.59285714285714,8.21389436774052
A1149,Data Analytcis Course,100.0,4235.0,222.61,10.0,8.0,0.051,1814.0,01-11-2024,hyderabad,Desktop,data anaytics training,0.023612750885478158,2.2261,27.82625,8.148780378239971
A1150,Data Anlytics Corse,153.0,4367.0,184.51,29.0,9.0,0.059,1507.0,2024-11-13,HYDERABAD,MOBILE,analytics for data,0.03503549347378063,1.2059477124183007,20.50111111111111,8.16757899300851
A1151,Data Anlytics Corse,110.0,3748.0,198.68,24.0,9.0,0.082,1041.0,05-11-2024,Hyderbad,TABLET,data anaytics training,0.02934898612593383,1.8061818181818183,22.075555555555557,5.239581236158647
A1153,Data Analytics Corse,156.0,3335.0,236.98,29.0,7.0,0.045,1143.0,2024-11-14,Hyderbad,desktop,data analytics course,0.046776611694152925,1.519102564102564,33.854285714285716,4.823191830534222
A1154,Data Analytics Corse,177.0,5671.0,210.74,19.0,6.0,0.058,1172.0,25-11-2024,HYDERABAD,Tablet,data analytics course,0.031211426556162936,1.1906214689265537,35.123333333333335,5.561355224447186
A1155,DataAnalyticsCourse,89.0,3408.0,214.78,25.0,9.0,0.101,1898.0,2024/11/15,hydrebad,Mobile,data analytics course,0.026115023474178403,2.413258426966292,23.864444444444445,8.836949436632834
A1156,DataAnalyticsCourse,155.0,4422.0,183.96,14.0,8.0,0.037,1143.0,2024/11/15,hydrebad,MOBILE,analytics for data,0.03505201266395296,1.1868387096774193,22.995,6.213307240704501
A1157,Data Analytcis Course,123.0,3097.0,190.55,20.0,8.0,0.065,1640.0,2024/11/22,Hyderbad,tablet,data analytics course,0.03971585405230869,1.5491869918699188,23.81875,8.606664917344528
A1158,Data Analytics Corse,102.0,3621.0,244.82,10.0,5.0,0.049,1375.0,2024/11/12,hydrebad,MOBILE,learn data analytics,0.028169014084507043,2.4001960784313723,48.964,5.6163712115023285
A1159,Data Analytics Corse,150.0,4806.0,244.53,15.0,9.0,,1602.0,07-11-2024,hydrebad,Mobile,data analitics online,0.031210986267166042,1.6302,27.17,6.551343393448657
A1161,Data Anlytics Corse,143.0,3901.0,191.38,29.0,4.0,0.053,1786.0,2024-11-24,HYDERABAD,MOBILE,learn data analytics,0.036657267367341706,1.3383216783216783,47.845,9.332218622635594
A1162,Data Anlytics Corse,178.0,4673.0,222.46,29.0,6.0,0.051,1219.0,2024/11/04,hydrebad,tablet,online data analytic,0.03809116199443612,1.2497752808988765,37.07666666666667,5.479636788636159
A1163,DataAnalyticsCourse,152.0,3542.0,208.96,13.0,9.0,,1735.0,2024/11/13,Hyderbad,desktop,data analytics course,0.04291360813099943,1.3747368421052633,23.21777777777778,8.30302450229709
A1164,DataAnalyticsCourse,139.0,4347.0,238.19,26.0,5.0,,1384.0,13-11-2024,hydrebad,tablet,analytics for data,0.031976075454336325,1.7135971223021582,47.638,5.810487426004451
